Saving all results to: /home/administrator/FYP/RL-baselines/results/dyna_q/run_20260501_212440
Starting Dyna-Q Training on CliffWalking-v1 for 100000 episodes...
Episode 100/100000 | Exploratory train avg (Last 100): -121.80 | Greedy eval avg: -13.00
Episode 200/100000 | Exploratory train avg (Last 100): -104.61 | Greedy eval avg: -13.00
Episode 300/100000 | Exploratory train avg (Last 100): -114.38 | Greedy eval avg: -13.00
Episode 400/100000 | Exploratory train avg (Last 100): -115.09 | Greedy eval avg: -13.00
Episode 500/100000 | Exploratory train avg (Last 100): -133.87 | Greedy eval avg: -13.00
Episode 600/100000 | Exploratory train avg (Last 100): -129.27 | Greedy eval avg: -13.00
Episode 700/100000 | Exploratory train avg (Last 100): -96.12 | Greedy eval avg: -13.00
Episode 800/100000 | Exploratory train avg (Last 100): -88.44 | Greedy eval avg: -13.00
Episode 900/100000 | Exploratory train avg (Last 100): -107.94 | Greedy eval avg: -13.00
Episode 1000/100000 | Exploratory train avg (Last 100): -94.49 | Greedy eval avg: -13.00
Episode 1100/100000 | Exploratory train avg (Last 100): -113.36 | Greedy eval avg: -13.00
Episode 1200/100000 | Exploratory train avg (Last 100): -101.38 | Greedy eval avg: -13.00
Episode 1300/100000 | Exploratory train avg (Last 100): -112.85 | Greedy eval avg: -13.00
Episode 1400/100000 | Exploratory train avg (Last 100): -89.27 | Greedy eval avg: -13.00
Episode 1500/100000 | Exploratory train avg (Last 100): -111.21 | Greedy eval avg: -13.00
Episode 1600/100000 | Exploratory train avg (Last 100): -96.12 | Greedy eval avg: -13.00
Episode 1700/100000 | Exploratory train avg (Last 100): -120.25 | Greedy eval avg: -13.00
Episode 1800/100000 | Exploratory train avg (Last 100): -107.43 | Greedy eval avg: -13.00
Episode 1900/100000 | Exploratory train avg (Last 100): -116.93 | Greedy eval avg: -13.00
Episode 2000/100000 | Exploratory train avg (Last 100): -90.16 | Greedy eval avg: -13.00
