Using device: cuda
Saving all results to: /home/administrator/FYP/RL-baselines/results/mpc/run_20260501_212442
Collecting seed dataset with random actions...
Training initial Dynamics Model...
Starting MPC Control loop...
   -> Dynamics Model retrained. One-step MSE: 0.00057 | 5-step rollout MSE: 0.00167
Episode 49/100 | Total Reward: -120.63
   -> Dynamics Model retrained. One-step MSE: 0.00050 | 5-step rollout MSE: 0.00157
Episode 50/100 | Total Reward: -120.41
   -> Dynamics Model retrained. One-step MSE: 0.00057 | 5-step rollout MSE: 0.00041
Episode 51/100 | Total Reward: -0.56
   -> Dynamics Model retrained. One-step MSE: 0.00053 | 5-step rollout MSE: 0.00078
Episode 52/100 | Total Reward: -123.16
   -> Dynamics Model retrained. One-step MSE: 0.00054 | 5-step rollout MSE: 0.00184
Episode 53/100 | Total Reward: -118.06
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00074
Episode 54/100 | Total Reward: -120.70
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00045
Episode 55/100 | Total Reward: -0.49
   -> Dynamics Model retrained. One-step MSE: 0.00047 | 5-step rollout MSE: 0.00052
Episode 56/100 | Total Reward: -119.17
   -> Dynamics Model retrained. One-step MSE: 0.00054 | 5-step rollout MSE: 0.00044
Episode 57/100 | Total Reward: -119.82
   -> Dynamics Model retrained. One-step MSE: 0.00054 | 5-step rollout MSE: 0.00038
Episode 58/100 | Total Reward: -122.92
   -> Dynamics Model retrained. One-step MSE: 0.00054 | 5-step rollout MSE: 0.00157
Episode 59/100 | Total Reward: -119.33
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00178
Episode 60/100 | Total Reward: -344.74
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00200
Episode 61/100 | Total Reward: -119.31
   -> Dynamics Model retrained. One-step MSE: 0.00047 | 5-step rollout MSE: 0.00042
Episode 62/100 | Total Reward: -119.34
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00042
Episode 63/100 | Total Reward: -128.63
   -> Dynamics Model retrained. One-step MSE: 0.00059 | 5-step rollout MSE: 0.00044
Episode 64/100 | Total Reward: -123.55
   -> Dynamics Model retrained. One-step MSE: 0.00047 | 5-step rollout MSE: 0.00055
Episode 65/100 | Total Reward: -1.44
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00112
Episode 66/100 | Total Reward: -233.20
   -> Dynamics Model retrained. One-step MSE: 0.00043 | 5-step rollout MSE: 0.00049
Episode 67/100 | Total Reward: -117.21
   -> Dynamics Model retrained. One-step MSE: 0.00052 | 5-step rollout MSE: 0.00032
Episode 68/100 | Total Reward: -1.12
   -> Dynamics Model retrained. One-step MSE: 0.00051 | 5-step rollout MSE: 0.00027
Episode 69/100 | Total Reward: -254.24
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00082
Episode 70/100 | Total Reward: -123.27
   -> Dynamics Model retrained. One-step MSE: 0.00045 | 5-step rollout MSE: 0.00026
Episode 71/100 | Total Reward: -221.63
   -> Dynamics Model retrained. One-step MSE: 0.00052 | 5-step rollout MSE: 0.00060
Episode 72/100 | Total Reward: -123.61
   -> Dynamics Model retrained. One-step MSE: 0.00039 | 5-step rollout MSE: 0.00097
Episode 73/100 | Total Reward: -1.41
   -> Dynamics Model retrained. One-step MSE: 0.00050 | 5-step rollout MSE: 0.00055
Episode 74/100 | Total Reward: -118.93
   -> Dynamics Model retrained. One-step MSE: 0.00054 | 5-step rollout MSE: 0.00053
Episode 75/100 | Total Reward: -121.79
   -> Dynamics Model retrained. One-step MSE: 0.00053 | 5-step rollout MSE: 0.00045
Episode 76/100 | Total Reward: -120.91
   -> Dynamics Model retrained. One-step MSE: 0.00051 | 5-step rollout MSE: 0.00063
Episode 77/100 | Total Reward: -120.44
   -> Dynamics Model retrained. One-step MSE: 0.00048 | 5-step rollout MSE: 0.00026
Episode 78/100 | Total Reward: -119.55
   -> Dynamics Model retrained. One-step MSE: 0.00052 | 5-step rollout MSE: 0.00084
Episode 79/100 | Total Reward: -244.10
   -> Dynamics Model retrained. One-step MSE: 0.00042 | 5-step rollout MSE: 0.00019
Episode 80/100 | Total Reward: -128.21
   -> Dynamics Model retrained. One-step MSE: 0.00042 | 5-step rollout MSE: 0.00106
Episode 81/100 | Total Reward: -1.50
   -> Dynamics Model retrained. One-step MSE: 0.00048 | 5-step rollout MSE: 0.00155
Episode 82/100 | Total Reward: -127.56
   -> Dynamics Model retrained. One-step MSE: 0.00046 | 5-step rollout MSE: 0.00040
Episode 83/100 | Total Reward: -0.41
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00123
Episode 84/100 | Total Reward: -120.33
   -> Dynamics Model retrained. One-step MSE: 0.00051 | 5-step rollout MSE: 0.00073
Episode 85/100 | Total Reward: -125.33
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00026
Episode 86/100 | Total Reward: -230.45
   -> Dynamics Model retrained. One-step MSE: 0.00043 | 5-step rollout MSE: 0.00037
Episode 87/100 | Total Reward: -125.42
   -> Dynamics Model retrained. One-step MSE: 0.00042 | 5-step rollout MSE: 0.00079
Episode 88/100 | Total Reward: -219.19
   -> Dynamics Model retrained. One-step MSE: 0.00046 | 5-step rollout MSE: 0.00058
Episode 89/100 | Total Reward: -120.98
   -> Dynamics Model retrained. One-step MSE: 0.00041 | 5-step rollout MSE: 0.00086
Episode 90/100 | Total Reward: -115.92
   -> Dynamics Model retrained. One-step MSE: 0.00049 | 5-step rollout MSE: 0.00026
Episode 91/100 | Total Reward: -3.14
   -> Dynamics Model retrained. One-step MSE: 0.00047 | 5-step rollout MSE: 0.00054
Episode 92/100 | Total Reward: -128.16
   -> Dynamics Model retrained. One-step MSE: 0.00042 | 5-step rollout MSE: 0.00030
Episode 93/100 | Total Reward: -0.59
   -> Dynamics Model retrained. One-step MSE: 0.00044 | 5-step rollout MSE: 0.00063
Episode 94/100 | Total Reward: -119.34
   -> Dynamics Model retrained. One-step MSE: 0.00050 | 5-step rollout MSE: 0.00048
Episode 95/100 | Total Reward: -245.87
   -> Dynamics Model retrained. One-step MSE: 0.00043 | 5-step rollout MSE: 0.00021
Episode 96/100 | Total Reward: -236.34
   -> Dynamics Model retrained. One-step MSE: 0.00044 | 5-step rollout MSE: 0.00060
Episode 97/100 | Total Reward: -117.94
   -> Dynamics Model retrained. One-step MSE: 0.00038 | 5-step rollout MSE: 0.00031
Episode 98/100 | Total Reward: -222.56
   -> Dynamics Model retrained. One-step MSE: 0.00041 | 5-step rollout MSE: 0.00100
Episode 99/100 | Total Reward: -116.82
   -> Dynamics Model retrained. One-step MSE: 0.00040 | 5-step rollout MSE: 0.00023
Episode 100/100 | Total Reward: -265.99
   -> Dynamics Model retrained. One-step MSE: 0.00040 | 5-step rollout MSE: 0.00109
Dynamics ensemble saved to /home/administrator/FYP/RL-baselines/results/mpc/run_20260501_212442/dynamics_ensemble.pth
Training curve saved as '/home/administrator/FYP/RL-baselines/results/mpc/run_20260501_212442/training_curve.png'
Evaluating agent and saving video to /home/administrator/FYP/RL-baselines/results/mpc/run_20260501_212442/pendulum_mpc_agent.gif...
Evaluation finished. Total Reward: -240.78
Saved successfully!
