Saving all outputs to: /home/administrator/FYP/RL-baselines/results/dreamer_v1/run_20260430_214910
Prefill: 1000/50000
Prefill: 2000/50000
Prefill: 3000/50000
Prefill: 4000/50000
Prefill: 5000/50000
Prefill: 6000/50000
Prefill: 7000/50000
Prefill: 8000/50000
Prefill: 9000/50000
Prefill: 10000/50000
Prefill: 11000/50000
Prefill: 12000/50000
Prefill: 13000/50000
Prefill: 14000/50000
Prefill: 15000/50000
Prefill: 16000/50000
Prefill: 17000/50000
Prefill: 18000/50000
Prefill: 19000/50000
Prefill: 20000/50000
Prefill: 21000/50000
Prefill: 22000/50000
Prefill: 23000/50000
Prefill: 24000/50000
Prefill: 25000/50000
Prefill: 26000/50000
Prefill: 27000/50000
Prefill: 28000/50000
Prefill: 29000/50000
Prefill: 30000/50000
Prefill: 31000/50000
Prefill: 32000/50000
Prefill: 33000/50000
Prefill: 34000/50000
Prefill: 35000/50000
Prefill: 36000/50000
Prefill: 37000/50000
Prefill: 38000/50000
Prefill: 39000/50000
Prefill: 40000/50000
Prefill: 41000/50000
Prefill: 42000/50000
Prefill: 43000/50000
Prefill: 44000/50000
Prefill: 45000/50000
Prefill: 46000/50000
Prefill: 47000/50000
Prefill: 48000/50000
Update 3700/20000 | world 0.0022 | actor -4.4003 | value 0.0364
Collected 1000 policy steps | episodes 1 | reward sum 18.27 | replay 88000
Update 3800/20000 | world 0.0018 | actor -4.3066 | value 0.0321
Collected 1000 policy steps | episodes 1 | reward sum 18.81 | replay 89000
Update 3900/20000 | world 0.0018 | actor -5.2558 | value 0.0898
Collected 1000 policy steps | episodes 1 | reward sum 18.78 | replay 90000
Update 4000/20000 | world 0.0020 | actor -3.9741 | value 0.0184
Collected 1000 policy steps | episodes 1 | reward sum 38.49 | replay 91000
Update 4100/20000 | world 0.0020 | actor -4.3084 | value 0.0832
Collected 1000 policy steps | episodes 1 | reward sum 27.64 | replay 92000
Update 4200/20000 | world 0.0017 | actor -4.3498 | value 0.0217
Collected 1000 policy steps | episodes 1 | reward sum 28.92 | replay 93000
Update 4300/20000 | world 0.0017 | actor -4.4628 | value 0.0304
Collected 1000 policy steps | episodes 1 | reward sum 28.31 | replay 94000
Update 4400/20000 | world 0.0017 | actor -4.6405 | value 0.0227
Collected 1000 policy steps | episodes 1 | reward sum 45.83 | replay 95000
Update 4500/20000 | world 0.0015 | actor -3.7834 | value 0.0091
Collected 1000 policy steps | episodes 1 | reward sum 30.03 | replay 96000
Update 4600/20000 | world 0.0017 | actor -4.3574 | value 0.0108
Collected 1000 policy steps | episodes 1 | reward sum 24.80 | replay 97000
Update 4700/20000 | world 0.0020 | actor -3.8997 | value 0.0208
Collected 1000 policy steps | episodes 1 | reward sum 32.62 | replay 98000
Update 4800/20000 | world 0.0016 | actor -3.8717 | value 0.0114
Collected 1000 policy steps | episodes 1 | reward sum 25.50 | replay 99000
Update 4900/20000 | world 0.0019 | actor -4.3609 | value 0.0241
Collected 1000 policy steps | episodes 1 | reward sum 24.55 | replay 100000
Update 5000/20000 | world 0.0016 | actor -4.5529 | value 0.0207
Collected 1000 policy steps | episodes 1 | reward sum 24.66 | replay 101000
Update 5100/20000 | world 0.0017 | actor -3.6603 | value 0.0249
Collected 1000 policy steps | episodes 1 | reward sum 33.82 | replay 102000
Update 5200/20000 | world 0.0019 | actor -3.9944 | value 0.0130
Collected 1000 policy steps | episodes 1 | reward sum 30.28 | replay 103000
Update 5300/20000 | world 0.0014 | actor -5.0280 | value 0.0782
Collected 1000 policy steps | episodes 1 | reward sum 37.72 | replay 104000
Update 5400/20000 | world 0.0019 | actor -4.0840 | value 0.0237
Collected 1000 policy steps | episodes 1 | reward sum 33.31 | replay 105000
Update 5500/20000 | world 0.0015 | actor -4.3536 | value 0.0191
Collected 1000 policy steps | episodes 1 | reward sum 37.43 | replay 106000
Update 5600/20000 | world 0.0015 | actor -4.1263 | value 0.0350
Collected 1000 policy steps | episodes 1 | reward sum 38.04 | replay 107000
Update 5700/20000 | world 0.0024 | actor -4.6225 | value 0.0229
Collected 1000 policy steps | episodes 1 | reward sum 34.65 | replay 108000
Update 5800/20000 | world 0.0016 | actor -4.9422 | value 0.0382
Collected 1000 policy steps | episodes 1 | reward sum 37.57 | replay 109000
Update 5900/20000 | world 0.0016 | actor -4.4008 | value 0.0408
Collected 1000 policy steps | episodes 1 | reward sum 50.08 | replay 110000
Update 6000/20000 | world 0.0017 | actor -4.9905 | value 0.0382
Collected 1000 policy steps | episodes 1 | reward sum 32.98 | replay 111000
Update 6100/20000 | world 0.0016 | actor -5.3744 | value 0.0417
Collected 1000 policy steps | episodes 1 | reward sum 20.02 | replay 112000
Update 6200/20000 | world 0.0019 | actor -4.6060 | value 0.0291
Collected 1000 policy steps | episodes 1 | reward sum 20.45 | replay 113000
Update 6300/20000 | world 0.0018 | actor -5.5096 | value 0.0260
Collected 1000 policy steps | episodes 1 | reward sum 40.51 | replay 114000
Update 6400/20000 | world 0.0016 | actor -4.6758 | value 0.0193
Collected 1000 policy steps | episodes 1 | reward sum 45.09 | replay 115000
Update 6500/20000 | world 0.0041 | actor -4.5718 | value 0.0214
Collected 1000 policy steps | episodes 1 | reward sum 31.70 | replay 116000
Update 6600/20000 | world 0.0018 | actor -4.6759 | value 0.0181
Collected 1000 policy steps | episodes 1 | reward sum 31.08 | replay 117000
Update 6700/20000 | world 0.0023 | actor -4.2553 | value 0.0063
Collected 1000 policy steps | episodes 1 | reward sum 31.79 | replay 118000
Update 6800/20000 | world 0.0015 | actor -4.5111 | value 0.0218
Collected 1000 policy steps | episodes 1 | reward sum 40.73 | replay 119000
Update 6900/20000 | world 0.0015 | actor -4.9686 | value 0.0310
Collected 1000 policy steps | episodes 1 | reward sum 44.22 | replay 120000
Update 7000/20000 | world 0.0014 | actor -4.6731 | value 0.0192
Collected 1000 policy steps | episodes 1 | reward sum 63.52 | replay 121000
Update 7100/20000 | world 0.0018 | actor -5.5832 | value 0.0271
Collected 1000 policy steps | episodes 1 | reward sum 39.05 | replay 122000
Update 7200/20000 | world 0.0014 | actor -4.8587 | value 0.0166
Collected 1000 policy steps | episodes 1 | reward sum 6.03 | replay 123000
Update 7300/20000 | world 0.0018 | actor -5.5704 | value 0.0150
Collected 1000 policy steps | episodes 1 | reward sum 47.09 | replay 124000
Update 7400/20000 | world 0.0016 | actor -5.2107 | value 0.0572
Collected 1000 policy steps | episodes 1 | reward sum 37.69 | replay 125000
Update 7500/20000 | world 0.0014 | actor -5.1727 | value 0.0194
