Using device: cuda
Saving all results to: /home/administrator/FYP/RL-baselines/results/mpc/run_20260430_170146
Collecting seed dataset with random actions...
Training initial Dynamics Model...
Starting MPC Control loop...
Episode 1/100 | Total Reward: -115.90
   -> Dynamics Model retrained. One-step MSE: 0.00140 | 5-step rollout MSE: 0.00477
Episode 2/100 | Total Reward: -1.65
   -> Dynamics Model retrained. One-step MSE: 0.00141 | 5-step rollout MSE: 0.00442
Episode 3/100 | Total Reward: -4.56
   -> Dynamics Model retrained. One-step MSE: 0.00128 | 5-step rollout MSE: 0.00327
Episode 4/100 | Total Reward: -0.39
   -> Dynamics Model retrained. One-step MSE: 0.00121 | 5-step rollout MSE: 0.00481
Episode 5/100 | Total Reward: -126.69
   -> Dynamics Model retrained. One-step MSE: 0.00103 | 5-step rollout MSE: 0.00517
Episode 6/100 | Total Reward: -242.74
   -> Dynamics Model retrained. One-step MSE: 0.00105 | 5-step rollout MSE: 0.00403
Episode 7/100 | Total Reward: -117.24
   -> Dynamics Model retrained. One-step MSE: 0.00103 | 5-step rollout MSE: 0.00524
Episode 8/100 | Total Reward: -123.58
   -> Dynamics Model retrained. One-step MSE: 0.00087 | 5-step rollout MSE: 0.00188
Episode 9/100 | Total Reward: -266.25
   -> Dynamics Model retrained. One-step MSE: 0.00087 | 5-step rollout MSE: 0.00102
Episode 10/100 | Total Reward: -124.65
   -> Dynamics Model retrained. One-step MSE: 0.00085 | 5-step rollout MSE: 0.00425
Episode 11/100 | Total Reward: -224.33
   -> Dynamics Model retrained. One-step MSE: 0.00081 | 5-step rollout MSE: 0.00609
Episode 12/100 | Total Reward: -335.59
   -> Dynamics Model retrained. One-step MSE: 0.00079 | 5-step rollout MSE: 0.00246
Episode 13/100 | Total Reward: -116.56
   -> Dynamics Model retrained. One-step MSE: 0.00082 | 5-step rollout MSE: 0.00421
Episode 14/100 | Total Reward: -122.21
   -> Dynamics Model retrained. One-step MSE: 0.00077 | 5-step rollout MSE: 0.00258
Episode 15/100 | Total Reward: -239.49
   -> Dynamics Model retrained. One-step MSE: 0.00070 | 5-step rollout MSE: 0.00264
Episode 16/100 | Total Reward: -117.20
   -> Dynamics Model retrained. One-step MSE: 0.00070 | 5-step rollout MSE: 0.00287
Episode 17/100 | Total Reward: -122.12
   -> Dynamics Model retrained. One-step MSE: 0.00069 | 5-step rollout MSE: 0.00327
Episode 18/100 | Total Reward: -126.04
   -> Dynamics Model retrained. One-step MSE: 0.00074 | 5-step rollout MSE: 0.00340
Episode 19/100 | Total Reward: -0.57
   -> Dynamics Model retrained. One-step MSE: 0.00067 | 5-step rollout MSE: 0.00354
Episode 20/100 | Total Reward: -124.33
   -> Dynamics Model retrained. One-step MSE: 0.00068 | 5-step rollout MSE: 0.00371
Episode 21/100 | Total Reward: -119.54
   -> Dynamics Model retrained. One-step MSE: 0.00065 | 5-step rollout MSE: 0.00204
Episode 22/100 | Total Reward: -127.21
   -> Dynamics Model retrained. One-step MSE: 0.00065 | 5-step rollout MSE: 0.00134
Episode 23/100 | Total Reward: -0.26
   -> Dynamics Model retrained. One-step MSE: 0.00061 | 5-step rollout MSE: 0.00163
Episode 24/100 | Total Reward: -120.43
   -> Dynamics Model retrained. One-step MSE: 0.00053 | 5-step rollout MSE: 0.00222
Episode 25/100 | Total Reward: -117.52
   -> Dynamics Model retrained. One-step MSE: 0.00064 | 5-step rollout MSE: 0.00158
Episode 26/100 | Total Reward: -225.43
   -> Dynamics Model retrained. One-step MSE: 0.00058 | 5-step rollout MSE: 0.00556
Episode 27/100 | Total Reward: -123.86
   -> Dynamics Model retrained. One-step MSE: 0.00058 | 5-step rollout MSE: 0.00234
Episode 28/100 | Total Reward: -128.54
   -> Dynamics Model retrained. One-step MSE: 0.00057 | 5-step rollout MSE: 0.00125
Episode 29/100 | Total Reward: -289.47
   -> Dynamics Model retrained. One-step MSE: 0.00056 | 5-step rollout MSE: 0.00138
Episode 30/100 | Total Reward: -123.85
   -> Dynamics Model retrained. One-step MSE: 0.00054 | 5-step rollout MSE: 0.00075
