Saving all results to: /home/administrator/FYP/RL-baselines/results/dyna_q/run_20260430_170141
Starting Dyna-Q Training on CliffWalking-v1 for 100000 episodes...
Episode 100/100000 | Exploratory train avg (Last 100): -119.53 | Greedy eval avg: -13.00
Episode 200/100000 | Exploratory train avg (Last 100): -113.57 | Greedy eval avg: -13.00
Episode 300/100000 | Exploratory train avg (Last 100): -107.45 | Greedy eval avg: -13.00
Episode 400/100000 | Exploratory train avg (Last 100): -110.20 | Greedy eval avg: -13.00
Episode 500/100000 | Exploratory train avg (Last 100): -103.58 | Greedy eval avg: -13.00
Episode 600/100000 | Exploratory train avg (Last 100): -80.34 | Greedy eval avg: -13.00
Episode 700/100000 | Exploratory train avg (Last 100): -111.60 | Greedy eval avg: -13.00
Episode 800/100000 | Exploratory train avg (Last 100): -103.08 | Greedy eval avg: -13.00
Episode 900/100000 | Exploratory train avg (Last 100): -107.77 | Greedy eval avg: -13.00
Episode 1000/100000 | Exploratory train avg (Last 100): -95.10 | Greedy eval avg: -13.00
Episode 1100/100000 | Exploratory train avg (Last 100): -80.31 | Greedy eval avg: -13.00
Episode 1200/100000 | Exploratory train avg (Last 100): -119.43 | Greedy eval avg: -13.00
Episode 1300/100000 | Exploratory train avg (Last 100): -115.58 | Greedy eval avg: -13.00
Episode 1400/100000 | Exploratory train avg (Last 100): -89.68 | Greedy eval avg: -13.00
Episode 1500/100000 | Exploratory train avg (Last 100): -120.96 | Greedy eval avg: -13.00
Episode 1600/100000 | Exploratory train avg (Last 100): -110.57 | Greedy eval avg: -13.00
Episode 1700/100000 | Exploratory train avg (Last 100): -106.10 | Greedy eval avg: -13.00
Episode 1800/100000 | Exploratory train avg (Last 100): -106.45 | Greedy eval avg: -13.00
Episode 1900/100000 | Exploratory train avg (Last 100): -120.05 | Greedy eval avg: -13.00
Episode 2000/100000 | Exploratory train avg (Last 100): -96.06 | Greedy eval avg: -13.00
Episode 2100/100000 | Exploratory train avg (Last 100): -98.63 | Greedy eval avg: -13.00
Episode 2200/100000 | Exploratory train avg (Last 100): -97.17 | Greedy eval avg: -13.00
Episode 2300/100000 | Exploratory train avg (Last 100): -125.05 | Greedy eval avg: -13.00
Episode 2400/100000 | Exploratory train avg (Last 100): -92.26 | Greedy eval avg: -13.00
Episode 2500/100000 | Exploratory train avg (Last 100): -107.46 | Greedy eval avg: -13.00
Episode 2600/100000 | Exploratory train avg (Last 100): -86.43 | Greedy eval avg: -13.00
Episode 2700/100000 | Exploratory train avg (Last 100): -81.63 | Greedy eval avg: -13.00
Episode 2800/100000 | Exploratory train avg (Last 100): -112.22 | Greedy eval avg: -13.00
Episode 2900/100000 | Exploratory train avg (Last 100): -83.55 | Greedy eval avg: -13.00
Episode 3000/100000 | Exploratory train avg (Last 100): -100.74 | Greedy eval avg: -13.00
Episode 3100/100000 | Exploratory train avg (Last 100): -87.01 | Greedy eval avg: -13.00
Episode 3200/100000 | Exploratory train avg (Last 100): -99.60 | Greedy eval avg: -13.00
Episode 3300/100000 | Exploratory train avg (Last 100): -87.14 | Greedy eval avg: -13.00
Episode 3400/100000 | Exploratory train avg (Last 100): -95.67 | Greedy eval avg: -13.00
Episode 3500/100000 | Exploratory train avg (Last 100): -87.80 | Greedy eval avg: -13.00
Episode 3600/100000 | Exploratory train avg (Last 100): -129.76 | Greedy eval avg: -13.00
Episode 3700/100000 | Exploratory train avg (Last 100): -79.27 | Greedy eval avg: -13.00
Episode 3800/100000 | Exploratory train avg (Last 100): -70.66 | Greedy eval avg: -13.00
Episode 3900/100000 | Exploratory train avg (Last 100): -109.54 | Greedy eval avg: -13.00
Episode 4000/100000 | Exploratory train avg (Last 100): -81.38 | Greedy eval avg: -13.00
Episode 4100/100000 | Exploratory train avg (Last 100): -102.64 | Greedy eval avg: -13.00
Episode 4200/100000 | Exploratory train avg (Last 100): -90.54 | Greedy eval avg: -13.00
Episode 4300/100000 | Exploratory train avg (Last 100): -90.96 | Greedy eval avg: -13.00
Episode 4400/100000 | Exploratory train avg (Last 100): -82.03 | Greedy eval avg: -13.00
Episode 4500/100000 | Exploratory train avg (Last 100): -87.93 | Greedy eval avg: -13.00
