Saving all results to: /home/administrator/FYP/RL-baselines/results/dyna_q/run_20260430_112319
Starting Dyna-Q Training on CliffWalking-v1 for 100000 episodes...
Episode 100/100000 | Exploratory train avg (Last 100): -115.02 | Greedy eval avg: -13.00
Episode 200/100000 | Exploratory train avg (Last 100): -118.59 | Greedy eval avg: -13.00
Episode 300/100000 | Exploratory train avg (Last 100): -115.80 | Greedy eval avg: -13.00
Episode 400/100000 | Exploratory train avg (Last 100): -90.25 | Greedy eval avg: -13.00
Episode 500/100000 | Exploratory train avg (Last 100): -125.56 | Greedy eval avg: -13.00
Episode 600/100000 | Exploratory train avg (Last 100): -103.90 | Greedy eval avg: -13.00
Episode 700/100000 | Exploratory train avg (Last 100): -77.58 | Greedy eval avg: -13.00
Episode 800/100000 | Exploratory train avg (Last 100): -99.34 | Greedy eval avg: -13.00
Episode 900/100000 | Exploratory train avg (Last 100): -106.07 | Greedy eval avg: -13.00
Episode 1000/100000 | Exploratory train avg (Last 100): -112.78 | Greedy eval avg: -13.00
Episode 1100/100000 | Exploratory train avg (Last 100): -83.11 | Greedy eval avg: -13.00
Episode 1200/100000 | Exploratory train avg (Last 100): -100.25 | Greedy eval avg: -13.00
Episode 1300/100000 | Exploratory train avg (Last 100): -113.28 | Greedy eval avg: -13.00
Episode 1400/100000 | Exploratory train avg (Last 100): -131.72 | Greedy eval avg: -13.00
Episode 1500/100000 | Exploratory train avg (Last 100): -87.42 | Greedy eval avg: -13.00
Episode 1600/100000 | Exploratory train avg (Last 100): -98.21 | Greedy eval avg: -13.00
Episode 1700/100000 | Exploratory train avg (Last 100): -108.96 | Greedy eval avg: -13.00
Episode 1800/100000 | Exploratory train avg (Last 100): -95.91 | Greedy eval avg: -13.00
Episode 1900/100000 | Exploratory train avg (Last 100): -96.48 | Greedy eval avg: -13.00
Episode 2000/100000 | Exploratory train avg (Last 100): -81.50 | Greedy eval avg: -13.00
Episode 2100/100000 | Exploratory train avg (Last 100): -110.41 | Greedy eval avg: -13.00
Episode 2200/100000 | Exploratory train avg (Last 100): -119.46 | Greedy eval avg: -13.00
Episode 2300/100000 | Exploratory train avg (Last 100): -87.35 | Greedy eval avg: -13.00
Episode 2400/100000 | Exploratory train avg (Last 100): -91.43 | Greedy eval avg: -13.00
Episode 2500/100000 | Exploratory train avg (Last 100): -86.56 | Greedy eval avg: -13.00
Episode 2600/100000 | Exploratory train avg (Last 100): -101.49 | Greedy eval avg: -13.00
Episode 2700/100000 | Exploratory train avg (Last 100): -88.82 | Greedy eval avg: -13.00
Episode 2800/100000 | Exploratory train avg (Last 100): -95.88 | Greedy eval avg: -13.00
Episode 2900/100000 | Exploratory train avg (Last 100): -113.59 | Greedy eval avg: -13.00
Episode 3000/100000 | Exploratory train avg (Last 100): -96.36 | Greedy eval avg: -13.00
Episode 3100/100000 | Exploratory train avg (Last 100): -87.14 | Greedy eval avg: -13.00
Episode 3200/100000 | Exploratory train avg (Last 100): -99.54 | Greedy eval avg: -13.00
Episode 3300/100000 | Exploratory train avg (Last 100): -108.74 | Greedy eval avg: -13.00
Episode 3400/100000 | Exploratory train avg (Last 100): -86.50 | Greedy eval avg: -13.00
Episode 3500/100000 | Exploratory train avg (Last 100): -93.41 | Greedy eval avg: -13.00
Episode 3600/100000 | Exploratory train avg (Last 100): -102.63 | Greedy eval avg: -13.00
Episode 3700/100000 | Exploratory train avg (Last 100): -94.24 | Greedy eval avg: -13.00
Episode 3800/100000 | Exploratory train avg (Last 100): -104.65 | Greedy eval avg: -13.00
Episode 3900/100000 | Exploratory train avg (Last 100): -95.63 | Greedy eval avg: -13.00
Episode 4000/100000 | Exploratory train avg (Last 100): -74.11 | Greedy eval avg: -13.00
Episode 4100/100000 | Exploratory train avg (Last 100): -89.63 | Greedy eval avg: -13.00
Episode 4200/100000 | Exploratory train avg (Last 100): -79.88 | Greedy eval avg: -13.00
Episode 4300/100000 | Exploratory train avg (Last 100): -77.05 | Greedy eval avg: -13.00
Episode 4400/100000 | Exploratory train avg (Last 100): -116.65 | Greedy eval avg: -13.00
Episode 4500/100000 | Exploratory train avg (Last 100): -97.53 | Greedy eval avg: -13.00
Episode 4600/100000 | Exploratory train avg (Last 100): -90.70 | Greedy eval avg: -13.00
Episode 4700/100000 | Exploratory train avg (Last 100): -91.71 | Greedy eval avg: -13.00
Episode 4800/100000 | Exploratory train avg (Last 100): -108.32 | Greedy eval avg: -13.00
Episode 4900/100000 | Exploratory train avg (Last 100): -76.77 | Greedy eval avg: -13.00
