Using device: cuda
Saving all results to: /home/administrator/FYP/RL-baselines/results/mpc/run_20260430_115539
Collecting seed dataset with random actions...
Training initial Dynamics Model...
Starting MPC Control loop...
Episode 1/100 | Total Reward: -220.64
   -> Dynamics Model retrained. One-step MSE: 0.00160 | 5-step rollout MSE: 0.00721
Episode 2/100 | Total Reward: -116.94
   -> Dynamics Model retrained. One-step MSE: 0.00160 | 5-step rollout MSE: 0.00709
Episode 3/100 | Total Reward: -122.68
   -> Dynamics Model retrained. One-step MSE: 0.00142 | 5-step rollout MSE: 0.00449
Episode 4/100 | Total Reward: -117.35
   -> Dynamics Model retrained. One-step MSE: 0.00145 | 5-step rollout MSE: 0.00461
Episode 5/100 | Total Reward: -125.95
   -> Dynamics Model retrained. One-step MSE: 0.00136 | 5-step rollout MSE: 0.00391
Episode 6/100 | Total Reward: -232.72
   -> Dynamics Model retrained. One-step MSE: 0.00121 | 5-step rollout MSE: 0.00402
Episode 7/100 | Total Reward: -128.65
   -> Dynamics Model retrained. One-step MSE: 0.00119 | 5-step rollout MSE: 0.00409
Episode 8/100 | Total Reward: -123.63
   -> Dynamics Model retrained. One-step MSE: 0.00114 | 5-step rollout MSE: 0.00220
Episode 9/100 | Total Reward: -123.22
   -> Dynamics Model retrained. One-step MSE: 0.00113 | 5-step rollout MSE: 0.00254
Episode 10/100 | Total Reward: -126.67
   -> Dynamics Model retrained. One-step MSE: 0.00106 | 5-step rollout MSE: 0.00293
Episode 11/100 | Total Reward: -372.59
   -> Dynamics Model retrained. One-step MSE: 0.00099 | 5-step rollout MSE: 0.00458
Episode 12/100 | Total Reward: -1.05
   -> Dynamics Model retrained. One-step MSE: 0.00105 | 5-step rollout MSE: 0.00500
Episode 13/100 | Total Reward: -119.20
   -> Dynamics Model retrained. One-step MSE: 0.00096 | 5-step rollout MSE: 0.00159
Episode 14/100 | Total Reward: -122.41
   -> Dynamics Model retrained. One-step MSE: 0.00098 | 5-step rollout MSE: 0.00218
Episode 15/100 | Total Reward: -118.12
   -> Dynamics Model retrained. One-step MSE: 0.00093 | 5-step rollout MSE: 0.00277
Episode 16/100 | Total Reward: -312.60
   -> Dynamics Model retrained. One-step MSE: 0.00092 | 5-step rollout MSE: 0.00106
Episode 17/100 | Total Reward: -245.58
   -> Dynamics Model retrained. One-step MSE: 0.00088 | 5-step rollout MSE: 0.00181
Episode 18/100 | Total Reward: -115.94
   -> Dynamics Model retrained. One-step MSE: 0.00083 | 5-step rollout MSE: 0.00133
Episode 19/100 | Total Reward: -243.08
   -> Dynamics Model retrained. One-step MSE: 0.00084 | 5-step rollout MSE: 0.00335
Episode 20/100 | Total Reward: -0.56
   -> Dynamics Model retrained. One-step MSE: 0.00087 | 5-step rollout MSE: 0.00171
Episode 21/100 | Total Reward: -123.20
   -> Dynamics Model retrained. One-step MSE: 0.00088 | 5-step rollout MSE: 0.00081
Episode 22/100 | Total Reward: -127.56
   -> Dynamics Model retrained. One-step MSE: 0.00081 | 5-step rollout MSE: 0.00189
Episode 23/100 | Total Reward: -292.37
   -> Dynamics Model retrained. One-step MSE: 0.00078 | 5-step rollout MSE: 0.00177
Episode 24/100 | Total Reward: -0.86
   -> Dynamics Model retrained. One-step MSE: 0.00077 | 5-step rollout MSE: 0.00090
Episode 25/100 | Total Reward: -117.92
   -> Dynamics Model retrained. One-step MSE: 0.00087 | 5-step rollout MSE: 0.00162
Episode 26/100 | Total Reward: -114.55
   -> Dynamics Model retrained. One-step MSE: 0.00077 | 5-step rollout MSE: 0.00099
Episode 27/100 | Total Reward: -124.93
   -> Dynamics Model retrained. One-step MSE: 0.00076 | 5-step rollout MSE: 0.00149
Episode 28/100 | Total Reward: -325.21
   -> Dynamics Model retrained. One-step MSE: 0.00077 | 5-step rollout MSE: 0.00163
Episode 29/100 | Total Reward: -364.81
   -> Dynamics Model retrained. One-step MSE: 0.00069 | 5-step rollout MSE: 0.00108
Episode 30/100 | Total Reward: -345.78
   -> Dynamics Model retrained. One-step MSE: 0.00066 | 5-step rollout MSE: 0.00125
Episode 31/100 | Total Reward: -126.20
   -> Dynamics Model retrained. One-step MSE: 0.00076 | 5-step rollout MSE: 0.00060
Episode 32/100 | Total Reward: -221.01
   -> Dynamics Model retrained. One-step MSE: 0.00068 | 5-step rollout MSE: 0.00213
Episode 33/100 | Total Reward: -218.74
   -> Dynamics Model retrained. One-step MSE: 0.00073 | 5-step rollout MSE: 0.00036
Episode 34/100 | Total Reward: -126.68
   -> Dynamics Model retrained. One-step MSE: 0.00065 | 5-step rollout MSE: 0.00109
Episode 35/100 | Total Reward: -115.93
