Using device: cuda
Saving all results to: /home/administrator/FYP/RL-baselines/results/ddqn/run_20260501_142439
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Starting Double DQN Training for 1000000 frames...
Frame: 148000/1000000 | Epsilon: 0.87 | Avg Reward (Last 20): 0.40
Frame: 150000/1000000 | Epsilon: 0.86 | Avg Reward (Last 20): 0.20
Frame: 152000/1000000 | Epsilon: 0.86 | Avg Reward (Last 20): 0.20
Frame: 154000/1000000 | Epsilon: 0.86 | Avg Reward (Last 20): 0.45
Frame: 156000/1000000 | Epsilon: 0.86 | Avg Reward (Last 20): 0.35
Frame: 158000/1000000 | Epsilon: 0.86 | Avg Reward (Last 20): 0.35
Frame: 160000/1000000 | Epsilon: 0.86 | Avg Reward (Last 20): 0.15
Frame: 162000/1000000 | Epsilon: 0.85 | Avg Reward (Last 20): 0.15
Frame: 164000/1000000 | Epsilon: 0.85 | Avg Reward (Last 20): 0.40
Frame: 166000/1000000 | Epsilon: 0.85 | Avg Reward (Last 20): 0.20
Frame: 168000/1000000 | Epsilon: 0.85 | Avg Reward (Last 20): 0.25
Frame: 170000/1000000 | Epsilon: 0.85 | Avg Reward (Last 20): 0.10
Frame: 172000/1000000 | Epsilon: 0.85 | Avg Reward (Last 20): 0.60
Frame: 174000/1000000 | Epsilon: 0.84 | Avg Reward (Last 20): 0.15
Frame: 176000/1000000 | Epsilon: 0.84 | Avg Reward (Last 20): 0.35
Frame: 178000/1000000 | Epsilon: 0.84 | Avg Reward (Last 20): 0.00
Frame: 180000/1000000 | Epsilon: 0.84 | Avg Reward (Last 20): 0.25
Frame: 182000/1000000 | Epsilon: 0.84 | Avg Reward (Last 20): 0.60
Frame: 184000/1000000 | Epsilon: 0.83 | Avg Reward (Last 20): 0.40
Frame: 186000/1000000 | Epsilon: 0.83 | Avg Reward (Last 20): 0.25
Frame: 188000/1000000 | Epsilon: 0.83 | Avg Reward (Last 20): 0.30
Frame: 190000/1000000 | Epsilon: 0.83 | Avg Reward (Last 20): 0.20
Frame: 192000/1000000 | Epsilon: 0.83 | Avg Reward (Last 20): 0.30
Frame: 194000/1000000 | Epsilon: 0.83 | Avg Reward (Last 20): 0.25
Frame: 196000/1000000 | Epsilon: 0.82 | Avg Reward (Last 20): 0.30
Frame: 198000/1000000 | Epsilon: 0.82 | Avg Reward (Last 20): 0.15
Frame: 200000/1000000 | Epsilon: 0.82 | Avg Reward (Last 20): 0.40
Frame: 202000/1000000 | Epsilon: 0.82 | Avg Reward (Last 20): 0.25
Frame: 204000/1000000 | Epsilon: 0.82 | Avg Reward (Last 20): 0.15
Frame: 206000/1000000 | Epsilon: 0.81 | Avg Reward (Last 20): 0.45
Frame: 208000/1000000 | Epsilon: 0.81 | Avg Reward (Last 20): 0.35
Frame: 210000/1000000 | Epsilon: 0.81 | Avg Reward (Last 20): 0.35
Frame: 212000/1000000 | Epsilon: 0.81 | Avg Reward (Last 20): 0.20
Frame: 214000/1000000 | Epsilon: 0.81 | Avg Reward (Last 20): 0.35
Frame: 216000/1000000 | Epsilon: 0.81 | Avg Reward (Last 20): 0.35
Frame: 218000/1000000 | Epsilon: 0.80 | Avg Reward (Last 20): 0.45
Frame: 220000/1000000 | Epsilon: 0.80 | Avg Reward (Last 20): 0.30
Frame: 222000/1000000 | Epsilon: 0.80 | Avg Reward (Last 20): 0.25
Frame: 224000/1000000 | Epsilon: 0.80 | Avg Reward (Last 20): 0.20
Frame: 226000/1000000 | Epsilon: 0.80 | Avg Reward (Last 20): 0.25
Frame: 228000/1000000 | Epsilon: 0.79 | Avg Reward (Last 20): 0.25
Frame: 230000/1000000 | Epsilon: 0.79 | Avg Reward (Last 20): 0.20
Frame: 232000/1000000 | Epsilon: 0.79 | Avg Reward (Last 20): 0.30
Frame: 234000/1000000 | Epsilon: 0.79 | Avg Reward (Last 20): 0.35
Frame: 236000/1000000 | Epsilon: 0.79 | Avg Reward (Last 20): 0.10
Frame: 238000/1000000 | Epsilon: 0.79 | Avg Reward (Last 20): 0.25
Frame: 240000/1000000 | Epsilon: 0.78 | Avg Reward (Last 20): 0.10
Frame: 242000/1000000 | Epsilon: 0.78 | Avg Reward (Last 20): 0.10
Frame: 244000/1000000 | Epsilon: 0.78 | Avg Reward (Last 20): 0.25
Frame: 246000/1000000 | Epsilon: 0.78 | Avg Reward (Last 20): 0.30
Frame: 248000/1000000 | Epsilon: 0.78 | Avg Reward (Last 20): 0.20
Frame: 250000/1000000 | Epsilon: 0.78 | Avg Reward (Last 20): 0.40
Frame: 252000/1000000 | Epsilon: 0.77 | Avg Reward (Last 20): 0.35
Frame: 254000/1000000 | Epsilon: 0.77 | Avg Reward (Last 20): 0.25
Frame: 256000/1000000 | Epsilon: 0.77 | Avg Reward (Last 20): 0.05
Frame: 258000/1000000 | Epsilon: 0.77 | Avg Reward (Last 20): 0.20
Frame: 260000/1000000 | Epsilon: 0.77 | Avg Reward (Last 20): 0.35
Frame: 262000/1000000 | Epsilon: 0.76 | Avg Reward (Last 20): 0.35
Frame: 264000/1000000 | Epsilon: 0.76 | Avg Reward (Last 20): 0.40
Frame: 266000/1000000 | Epsilon: 0.76 | Avg Reward (Last 20): 0.25
Frame: 268000/1000000 | Epsilon: 0.76 | Avg Reward (Last 20): 0.30
Frame: 270000/1000000 | Epsilon: 0.76 | Avg Reward (Last 20): 0.45
Frame: 272000/1000000 | Epsilon: 0.76 | Avg Reward (Last 20): 0.45
Frame: 274000/1000000 | Epsilon: 0.75 | Avg Reward (Last 20): 0.45
Frame: 276000/1000000 | Epsilon: 0.75 | Avg Reward (Last 20): 0.35
Frame: 278000/1000000 | Epsilon: 0.75 | Avg Reward (Last 20): 0.40
Frame: 280000/1000000 | Epsilon: 0.75 | Avg Reward (Last 20): 0.20
Frame: 282000/1000000 | Epsilon: 0.75 | Avg Reward (Last 20): 0.45
Frame: 284000/1000000 | Epsilon: 0.74 | Avg Reward (Last 20): 0.30
Frame: 286000/1000000 | Epsilon: 0.74 | Avg Reward (Last 20): 0.10
Frame: 288000/1000000 | Epsilon: 0.74 | Avg Reward (Last 20): 0.20
Frame: 290000/1000000 | Epsilon: 0.74 | Avg Reward (Last 20): 0.15
Frame: 292000/1000000 | Epsilon: 0.74 | Avg Reward (Last 20): 0.60
Frame: 294000/1000000 | Epsilon: 0.74 | Avg Reward (Last 20): 0.45
Frame: 296000/1000000 | Epsilon: 0.73 | Avg Reward (Last 20): 0.10
Frame: 298000/1000000 | Epsilon: 0.73 | Avg Reward (Last 20): 0.25
Frame: 300000/1000000 | Epsilon: 0.73 | Avg Reward (Last 20): 0.10
Frame: 302000/1000000 | Epsilon: 0.73 | Avg Reward (Last 20): 0.25
Frame: 304000/1000000 | Epsilon: 0.73 | Avg Reward (Last 20): 0.25
Frame: 306000/1000000 | Epsilon: 0.72 | Avg Reward (Last 20): 0.20
Frame: 308000/1000000 | Epsilon: 0.72 | Avg Reward (Last 20): 0.35
Frame: 310000/1000000 | Epsilon: 0.72 | Avg Reward (Last 20): 0.40
Frame: 312000/1000000 | Epsilon: 0.72 | Avg Reward (Last 20): 0.40
Frame: 314000/1000000 | Epsilon: 0.72 | Avg Reward (Last 20): 0.20
Frame: 316000/1000000 | Epsilon: 0.72 | Avg Reward (Last 20): 0.15
Frame: 318000/1000000 | Epsilon: 0.71 | Avg Reward (Last 20): 0.30
Frame: 320000/1000000 | Epsilon: 0.71 | Avg Reward (Last 20): 0.15
Frame: 322000/1000000 | Epsilon: 0.71 | Avg Reward (Last 20): 0.30
Frame: 324000/1000000 | Epsilon: 0.71 | Avg Reward (Last 20): 0.25
Frame: 326000/1000000 | Epsilon: 0.71 | Avg Reward (Last 20): 0.05
Frame: 328000/1000000 | Epsilon: 0.70 | Avg Reward (Last 20): 0.10
Frame: 330000/1000000 | Epsilon: 0.70 | Avg Reward (Last 20): 0.20
Frame: 332000/1000000 | Epsilon: 0.70 | Avg Reward (Last 20): 0.25
Frame: 334000/1000000 | Epsilon: 0.70 | Avg Reward (Last 20): 0.25
Frame: 336000/1000000 | Epsilon: 0.70 | Avg Reward (Last 20): 0.55
Frame: 338000/1000000 | Epsilon: 0.70 | Avg Reward (Last 20): 0.55
Frame: 340000/1000000 | Epsilon: 0.69 | Avg Reward (Last 20): 0.25
Frame: 342000/1000000 | Epsilon: 0.69 | Avg Reward (Last 20): 0.35
Frame: 344000/1000000 | Epsilon: 0.69 | Avg Reward (Last 20): 0.40
Frame: 346000/1000000 | Epsilon: 0.69 | Avg Reward (Last 20): 0.25
Frame: 348000/1000000 | Epsilon: 0.69 | Avg Reward (Last 20): 0.25
Frame: 350000/1000000 | Epsilon: 0.69 | Avg Reward (Last 20): 0.20
Frame: 352000/1000000 | Epsilon: 0.68 | Avg Reward (Last 20): 0.35
Frame: 354000/1000000 | Epsilon: 0.68 | Avg Reward (Last 20): 0.45
Frame: 356000/1000000 | Epsilon: 0.68 | Avg Reward (Last 20): 0.25
Frame: 358000/1000000 | Epsilon: 0.68 | Avg Reward (Last 20): 0.15
Frame: 360000/1000000 | Epsilon: 0.68 | Avg Reward (Last 20): 0.20
Frame: 362000/1000000 | Epsilon: 0.67 | Avg Reward (Last 20): 0.45
Frame: 364000/1000000 | Epsilon: 0.67 | Avg Reward (Last 20): 0.25
Frame: 366000/1000000 | Epsilon: 0.67 | Avg Reward (Last 20): 0.10
Frame: 368000/1000000 | Epsilon: 0.67 | Avg Reward (Last 20): 0.35
Frame: 370000/1000000 | Epsilon: 0.67 | Avg Reward (Last 20): 0.20
Frame: 372000/1000000 | Epsilon: 0.67 | Avg Reward (Last 20): 0.10
Frame: 374000/1000000 | Epsilon: 0.66 | Avg Reward (Last 20): 0.25
Frame: 376000/1000000 | Epsilon: 0.66 | Avg Reward (Last 20): 0.15
Frame: 378000/1000000 | Epsilon: 0.66 | Avg Reward (Last 20): 0.40
Frame: 380000/1000000 | Epsilon: 0.66 | Avg Reward (Last 20): 0.30
Frame: 382000/1000000 | Epsilon: 0.66 | Avg Reward (Last 20): 0.15
Frame: 384000/1000000 | Epsilon: 0.65 | Avg Reward (Last 20): 0.25
Frame: 386000/1000000 | Epsilon: 0.65 | Avg Reward (Last 20): 0.40
Frame: 388000/1000000 | Epsilon: 0.65 | Avg Reward (Last 20): 0.30
Frame: 390000/1000000 | Epsilon: 0.65 | Avg Reward (Last 20): 0.15
Frame: 392000/1000000 | Epsilon: 0.65 | Avg Reward (Last 20): 0.25
Frame: 394000/1000000 | Epsilon: 0.65 | Avg Reward (Last 20): 0.20
Frame: 396000/1000000 | Epsilon: 0.64 | Avg Reward (Last 20): 0.05
Frame: 398000/1000000 | Epsilon: 0.64 | Avg Reward (Last 20): 0.05
Frame: 400000/1000000 | Epsilon: 0.64 | Avg Reward (Last 20): 0.50
Frame: 402000/1000000 | Epsilon: 0.64 | Avg Reward (Last 20): 0.20
Frame: 404000/1000000 | Epsilon: 0.64 | Avg Reward (Last 20): 0.05
Frame: 406000/1000000 | Epsilon: 0.63 | Avg Reward (Last 20): 0.35
Frame: 408000/1000000 | Epsilon: 0.63 | Avg Reward (Last 20): 0.25
Frame: 410000/1000000 | Epsilon: 0.63 | Avg Reward (Last 20): 0.25
Frame: 412000/1000000 | Epsilon: 0.63 | Avg Reward (Last 20): 0.35
Frame: 414000/1000000 | Epsilon: 0.63 | Avg Reward (Last 20): 0.30
Frame: 416000/1000000 | Epsilon: 0.63 | Avg Reward (Last 20): 0.00
Frame: 418000/1000000 | Epsilon: 0.62 | Avg Reward (Last 20): 0.25
Frame: 420000/1000000 | Epsilon: 0.62 | Avg Reward (Last 20): 0.15
Frame: 422000/1000000 | Epsilon: 0.62 | Avg Reward (Last 20): 0.45
Frame: 424000/1000000 | Epsilon: 0.62 | Avg Reward (Last 20): 0.15
Frame: 426000/1000000 | Epsilon: 0.62 | Avg Reward (Last 20): 0.50
Frame: 428000/1000000 | Epsilon: 0.61 | Avg Reward (Last 20): 0.25
Frame: 430000/1000000 | Epsilon: 0.61 | Avg Reward (Last 20): 0.25
Frame: 432000/1000000 | Epsilon: 0.61 | Avg Reward (Last 20): 0.05
Frame: 434000/1000000 | Epsilon: 0.61 | Avg Reward (Last 20): 0.40
Frame: 436000/1000000 | Epsilon: 0.61 | Avg Reward (Last 20): 0.55
Frame: 438000/1000000 | Epsilon: 0.61 | Avg Reward (Last 20): 0.10
Frame: 440000/1000000 | Epsilon: 0.60 | Avg Reward (Last 20): 0.15
Frame: 442000/1000000 | Epsilon: 0.60 | Avg Reward (Last 20): 0.20
Frame: 444000/1000000 | Epsilon: 0.60 | Avg Reward (Last 20): 0.30
Frame: 446000/1000000 | Epsilon: 0.60 | Avg Reward (Last 20): 0.15
Frame: 448000/1000000 | Epsilon: 0.60 | Avg Reward (Last 20): 0.05
Frame: 450000/1000000 | Epsilon: 0.59 | Avg Reward (Last 20): 0.35
Frame: 452000/1000000 | Epsilon: 0.59 | Avg Reward (Last 20): 0.40
Frame: 454000/1000000 | Epsilon: 0.59 | Avg Reward (Last 20): 0.35
Frame: 456000/1000000 | Epsilon: 0.59 | Avg Reward (Last 20): 0.30
Frame: 458000/1000000 | Epsilon: 0.59 | Avg Reward (Last 20): 0.55
Frame: 460000/1000000 | Epsilon: 0.59 | Avg Reward (Last 20): 0.20
Frame: 462000/1000000 | Epsilon: 0.58 | Avg Reward (Last 20): 0.25
Frame: 464000/1000000 | Epsilon: 0.58 | Avg Reward (Last 20): 0.45
Frame: 466000/1000000 | Epsilon: 0.58 | Avg Reward (Last 20): 0.45
Frame: 468000/1000000 | Epsilon: 0.58 | Avg Reward (Last 20): 0.10
Frame: 470000/1000000 | Epsilon: 0.58 | Avg Reward (Last 20): 0.30
Frame: 472000/1000000 | Epsilon: 0.58 | Avg Reward (Last 20): 0.35
Frame: 474000/1000000 | Epsilon: 0.57 | Avg Reward (Last 20): 0.30
Frame: 476000/1000000 | Epsilon: 0.57 | Avg Reward (Last 20): 0.35
Frame: 478000/1000000 | Epsilon: 0.57 | Avg Reward (Last 20): 0.15
Frame: 480000/1000000 | Epsilon: 0.57 | Avg Reward (Last 20): 0.35
Frame: 482000/1000000 | Epsilon: 0.57 | Avg Reward (Last 20): 0.20
Frame: 484000/1000000 | Epsilon: 0.56 | Avg Reward (Last 20): 0.50
Frame: 486000/1000000 | Epsilon: 0.56 | Avg Reward (Last 20): 0.35
Frame: 488000/1000000 | Epsilon: 0.56 | Avg Reward (Last 20): 0.75
Frame: 490000/1000000 | Epsilon: 0.56 | Avg Reward (Last 20): 0.30
Frame: 492000/1000000 | Epsilon: 0.56 | Avg Reward (Last 20): 0.55
Frame: 494000/1000000 | Epsilon: 0.56 | Avg Reward (Last 20): 0.15
Frame: 496000/1000000 | Epsilon: 0.55 | Avg Reward (Last 20): 0.20
Frame: 498000/1000000 | Epsilon: 0.55 | Avg Reward (Last 20): 0.35
Frame: 500000/1000000 | Epsilon: 0.55 | Avg Reward (Last 20): 0.30
Frame: 502000/1000000 | Epsilon: 0.55 | Avg Reward (Last 20): 0.30
Frame: 504000/1000000 | Epsilon: 0.55 | Avg Reward (Last 20): 0.40
Frame: 506000/1000000 | Epsilon: 0.54 | Avg Reward (Last 20): 0.30
Frame: 508000/1000000 | Epsilon: 0.54 | Avg Reward (Last 20): 0.40
Frame: 510000/1000000 | Epsilon: 0.54 | Avg Reward (Last 20): 0.50
Frame: 512000/1000000 | Epsilon: 0.54 | Avg Reward (Last 20): 0.15
Frame: 514000/1000000 | Epsilon: 0.54 | Avg Reward (Last 20): 0.40
Frame: 516000/1000000 | Epsilon: 0.54 | Avg Reward (Last 20): 0.15
Frame: 518000/1000000 | Epsilon: 0.53 | Avg Reward (Last 20): 0.30
Frame: 520000/1000000 | Epsilon: 0.53 | Avg Reward (Last 20): 0.25
Frame: 522000/1000000 | Epsilon: 0.53 | Avg Reward (Last 20): 0.50
Frame: 524000/1000000 | Epsilon: 0.53 | Avg Reward (Last 20): 0.55
Frame: 526000/1000000 | Epsilon: 0.53 | Avg Reward (Last 20): 0.30
Frame: 528000/1000000 | Epsilon: 0.52 | Avg Reward (Last 20): 0.20
Frame: 530000/1000000 | Epsilon: 0.52 | Avg Reward (Last 20): 0.30
Frame: 532000/1000000 | Epsilon: 0.52 | Avg Reward (Last 20): 0.25
Frame: 534000/1000000 | Epsilon: 0.52 | Avg Reward (Last 20): 0.15
Frame: 536000/1000000 | Epsilon: 0.52 | Avg Reward (Last 20): 0.15
Frame: 538000/1000000 | Epsilon: 0.52 | Avg Reward (Last 20): 0.50
Frame: 540000/1000000 | Epsilon: 0.51 | Avg Reward (Last 20): 0.40
Frame: 542000/1000000 | Epsilon: 0.51 | Avg Reward (Last 20): 0.00
Frame: 544000/1000000 | Epsilon: 0.51 | Avg Reward (Last 20): 0.45
Frame: 546000/1000000 | Epsilon: 0.51 | Avg Reward (Last 20): 0.30
Frame: 548000/1000000 | Epsilon: 0.51 | Avg Reward (Last 20): 0.20
Frame: 550000/1000000 | Epsilon: 0.50 | Avg Reward (Last 20): 0.20
Frame: 552000/1000000 | Epsilon: 0.50 | Avg Reward (Last 20): 0.10
Frame: 554000/1000000 | Epsilon: 0.50 | Avg Reward (Last 20): 0.30
Frame: 556000/1000000 | Epsilon: 0.50 | Avg Reward (Last 20): 0.30
Frame: 558000/1000000 | Epsilon: 0.50 | Avg Reward (Last 20): 0.20
