Saving all outputs to: /home/administrator/FYP/RL-baselines/results/dreamer_v1/run_20260501_142941
Prefill: 1000/50000
Prefill: 2000/50000
Prefill: 3000/50000
Prefill: 4000/50000
Prefill: 5000/50000
Prefill: 6000/50000
Prefill: 7000/50000
Prefill: 8000/50000
Prefill: 9000/50000
Prefill: 10000/50000
Prefill: 11000/50000
Prefill: 12000/50000
Prefill: 13000/50000
Prefill: 14000/50000
Prefill: 15000/50000
Prefill: 16000/50000
Prefill: 17000/50000
Prefill: 18000/50000
Prefill: 19000/50000
Prefill: 20000/50000
Prefill: 21000/50000
Prefill: 22000/50000
Prefill: 23000/50000
Prefill: 24000/50000
Prefill: 25000/50000
Prefill: 26000/50000
Prefill: 27000/50000
Prefill: 28000/50000
Prefill: 29000/50000
Prefill: 30000/50000
Prefill: 31000/50000
Prefill: 32000/50000
Prefill: 33000/50000
Prefill: 34000/50000
Prefill: 35000/50000
Prefill: 36000/50000
Prefill: 37000/50000
Prefill: 38000/50000
Prefill: 39000/50000
Prefill: 40000/50000
Prefill: 41000/50000
Prefill: 42000/50000
Prefill: 43000/50000
Prefill: 44000/50000
Prefill: 45000/50000
Prefill: 46000/50000
Prefill: 47000/50000
Prefill: 48000/50000
Prefill: 49000/50000
Update 0/20000 | world 0.8453 | actor -0.0433 | value 0.0037
Collected 1000 policy steps | episodes 1 | reward sum 28.52 | replay 51000
Update 100/20000 | world 0.0060 | actor -6.7700 | value 0.1241
Collected 1000 policy steps | episodes 1 | reward sum 28.46 | replay 52000
Update 200/20000 | world 0.0048 | actor -4.4751 | value 0.0372
Collected 1000 policy steps | episodes 1 | reward sum 32.10 | replay 53000
Update 300/20000 | world 0.0047 | actor -3.6474 | value 0.0191
Collected 1000 policy steps | episodes 1 | reward sum 18.42 | replay 54000
Update 400/20000 | world 0.0045 | actor -3.5621 | value 0.0119
Collected 1000 policy steps | episodes 1 | reward sum 18.37 | replay 55000
Update 500/20000 | world 0.0043 | actor -2.7755 | value 0.0058
Collected 1000 policy steps | episodes 1 | reward sum 18.83 | replay 56000
Update 600/20000 | world 0.0044 | actor -2.8274 | value 0.0058
Collected 1000 policy steps | episodes 1 | reward sum 19.67 | replay 57000
Update 700/20000 | world 0.0042 | actor -2.9705 | value 0.0057
Collected 1000 policy steps | episodes 1 | reward sum 36.76 | replay 58000
Update 800/20000 | world 0.0042 | actor -2.7555 | value 0.0050
Collected 1000 policy steps | episodes 1 | reward sum 19.35 | replay 59000
Update 900/20000 | world 0.0044 | actor -3.0729 | value 0.0036
Collected 1000 policy steps | episodes 1 | reward sum 21.39 | replay 60000
Update 1000/20000 | world 0.0073 | actor -2.6896 | value 0.0021
Collected 1000 policy steps | episodes 1 | reward sum 16.58 | replay 61000
Update 1100/20000 | world 0.0071 | actor -2.7346 | value 0.0019
Collected 1000 policy steps | episodes 1 | reward sum 29.07 | replay 62000
Update 1200/20000 | world 0.0041 | actor -2.1284 | value 0.0011
Collected 1000 policy steps | episodes 1 | reward sum 19.33 | replay 63000
Update 1300/20000 | world 0.0041 | actor -2.4549 | value 0.0016
Collected 1000 policy steps | episodes 1 | reward sum 32.92 | replay 64000
Update 1400/20000 | world 0.0042 | actor -2.8909 | value 0.0032
Collected 1000 policy steps | episodes 1 | reward sum 39.17 | replay 65000
Update 1500/20000 | world 0.0041 | actor -3.3032 | value 0.0027
Collected 1000 policy steps | episodes 1 | reward sum 17.29 | replay 66000
Update 1600/20000 | world 0.0045 | actor -3.3355 | value 0.0021
Collected 1000 policy steps | episodes 1 | reward sum 39.29 | replay 67000
Update 1700/20000 | world 0.0043 | actor -3.0485 | value 0.0014
Collected 1000 policy steps | episodes 1 | reward sum 38.17 | replay 68000
Update 1800/20000 | world 0.0047 | actor -3.2310 | value 0.0017
Collected 1000 policy steps | episodes 1 | reward sum 30.49 | replay 69000
Update 1900/20000 | world 0.0050 | actor -3.4061 | value 0.0015
Collected 1000 policy steps | episodes 1 | reward sum 31.34 | replay 70000
Update 2000/20000 | world 0.0040 | actor -3.5913 | value 0.0017
Collected 1000 policy steps | episodes 1 | reward sum 34.66 | replay 71000
Update 2100/20000 | world 0.0050 | actor -3.1340 | value 0.0018
Collected 1000 policy steps | episodes 1 | reward sum 33.49 | replay 72000
Update 2200/20000 | world 0.0068 | actor -3.1006 | value 0.0010
Collected 1000 policy steps | episodes 1 | reward sum 28.93 | replay 73000
Update 2300/20000 | world 0.0041 | actor -3.2725 | value 0.0014
Collected 1000 policy steps | episodes 1 | reward sum 34.26 | replay 74000
Update 2400/20000 | world 0.0040 | actor -3.6040 | value 0.0044
Collected 1000 policy steps | episodes 1 | reward sum 34.73 | replay 75000
Update 2500/20000 | world 0.0035 | actor -3.9256 | value 0.0040
Collected 1000 policy steps | episodes 1 | reward sum 30.29 | replay 76000
Update 2600/20000 | world 0.0033 | actor -3.4797 | value 0.0024
Collected 1000 policy steps | episodes 1 | reward sum 30.66 | replay 77000
Update 2700/20000 | world 0.0028 | actor -3.0088 | value 0.0016
Collected 1000 policy steps | episodes 1 | reward sum 34.40 | replay 78000
Update 2800/20000 | world 0.0028 | actor -3.1919 | value 0.0006
Collected 1000 policy steps | episodes 1 | reward sum 31.89 | replay 79000
Update 2900/20000 | world 0.0027 | actor -3.2601 | value 0.0009
Collected 1000 policy steps | episodes 1 | reward sum 33.63 | replay 80000
Update 3000/20000 | world 0.0029 | actor -3.0839 | value 0.0009
Collected 1000 policy steps | episodes 1 | reward sum 33.41 | replay 81000
Update 3100/20000 | world 0.0027 | actor -3.2322 | value 0.0006
Collected 1000 policy steps | episodes 1 | reward sum 36.40 | replay 82000
Update 3200/20000 | world 0.0028 | actor -3.3565 | value 0.0006
Collected 1000 policy steps | episodes 1 | reward sum 33.52 | replay 83000
Update 3300/20000 | world 0.0026 | actor -3.1650 | value 0.0006
Collected 1000 policy steps | episodes 1 | reward sum 33.16 | replay 84000
Update 3400/20000 | world 0.0025 | actor -3.1831 | value 0.0006
Collected 1000 policy steps | episodes 1 | reward sum 35.48 | replay 85000
Update 3500/20000 | world 0.0024 | actor -3.4863 | value 0.0007
Collected 1000 policy steps | episodes 1 | reward sum 34.43 | replay 86000
Update 3600/20000 | world 0.0025 | actor -3.3496 | value 0.0010
Collected 1000 policy steps | episodes 1 | reward sum 33.65 | replay 87000
Update 3700/20000 | world 0.0025 | actor -3.5460 | value 0.0011
Collected 1000 policy steps | episodes 1 | reward sum 33.20 | replay 88000
Update 3800/20000 | world 0.0025 | actor -3.1936 | value 0.0011
Collected 1000 policy steps | episodes 1 | reward sum 34.87 | replay 89000
Update 3900/20000 | world 0.0023 | actor -3.6086 | value 0.0008
Collected 1000 policy steps | episodes 1 | reward sum 35.12 | replay 90000
Update 4000/20000 | world 0.0019 | actor -3.4192 | value 0.0011
Collected 1000 policy steps | episodes 1 | reward sum 34.25 | replay 91000
Update 4100/20000 | world 0.0018 | actor -3.4782 | value 0.0011
Collected 1000 policy steps | episodes 1 | reward sum 31.63 | replay 92000
Update 4200/20000 | world 0.0020 | actor -3.6454 | value 0.0007
Collected 1000 policy steps | episodes 1 | reward sum 31.72 | replay 93000
Update 4300/20000 | world 0.0019 | actor -3.5505 | value 0.0007
Collected 1000 policy steps | episodes 1 | reward sum 37.89 | replay 94000
Update 4400/20000 | world 0.0052 | actor -3.7354 | value 0.0007
Collected 1000 policy steps | episodes 1 | reward sum 32.73 | replay 95000
Update 4500/20000 | world 0.0017 | actor -3.7873 | value 0.0009
Collected 1000 policy steps | episodes 1 | reward sum 29.25 | replay 96000
Update 4600/20000 | world 0.0021 | actor -3.7710 | value 0.0009
Collected 1000 policy steps | episodes 1 | reward sum 37.25 | replay 97000
Update 4700/20000 | world 0.0020 | actor -3.5297 | value 0.0011
Collected 1000 policy steps | episodes 1 | reward sum 32.24 | replay 98000
Update 4800/20000 | world 0.0019 | actor -3.7600 | value 0.0010
Collected 1000 policy steps | episodes 1 | reward sum 28.90 | replay 99000
Update 4900/20000 | world 0.0020 | actor -3.7130 | value 0.0014
Collected 1000 policy steps | episodes 1 | reward sum 43.75 | replay 100000
Update 5000/20000 | world 0.0018 | actor -3.7345 | value 0.0015
Collected 1000 policy steps | episodes 1 | reward sum 34.66 | replay 101000
Update 5100/20000 | world 0.0021 | actor -4.0383 | value 0.0017
Collected 1000 policy steps | episodes 1 | reward sum 48.64 | replay 102000
Update 5200/20000 | world 0.0020 | actor -3.6197 | value 0.0019
Collected 1000 policy steps | episodes 1 | reward sum 32.37 | replay 103000
Update 5300/20000 | world 0.0017 | actor -3.7296 | value 0.0017
Collected 1000 policy steps | episodes 1 | reward sum 32.25 | replay 104000
Update 5400/20000 | world 0.0016 | actor -3.8053 | value 0.0019
Collected 1000 policy steps | episodes 1 | reward sum 33.83 | replay 105000
Update 5500/20000 | world 0.0016 | actor -3.0787 | value 0.0026
Collected 1000 policy steps | episodes 1 | reward sum 30.58 | replay 106000
Update 5600/20000 | world 0.0014 | actor -3.1322 | value 0.0026
Collected 1000 policy steps | episodes 1 | reward sum 50.05 | replay 107000
Update 5700/20000 | world 0.0017 | actor -3.3397 | value 0.0032
Collected 1000 policy steps | episodes 1 | reward sum 45.66 | replay 108000
Update 5800/20000 | world 0.0017 | actor -3.3825 | value 0.0026
Collected 1000 policy steps | episodes 1 | reward sum 37.30 | replay 109000
Update 5900/20000 | world 0.0042 | actor -3.6073 | value 0.0028
Collected 1000 policy steps | episodes 1 | reward sum 31.37 | replay 110000
Update 6000/20000 | world 0.0014 | actor -2.9369 | value 0.0032
Collected 1000 policy steps | episodes 1 | reward sum 51.02 | replay 111000
Update 6100/20000 | world 0.0017 | actor -3.3366 | value 0.0037
Collected 1000 policy steps | episodes 1 | reward sum 34.68 | replay 112000
Update 6200/20000 | world 0.0042 | actor -3.5206 | value 0.0029
Collected 1000 policy steps | episodes 1 | reward sum 33.08 | replay 113000
Update 6300/20000 | world 0.0015 | actor -3.4520 | value 0.0058
Collected 1000 policy steps | episodes 1 | reward sum 63.04 | replay 114000
Update 6400/20000 | world 0.0018 | actor -3.3827 | value 0.0053
Collected 1000 policy steps | episodes 1 | reward sum 51.18 | replay 115000
Update 6500/20000 | world 0.0018 | actor -3.3166 | value 0.0084
Collected 1000 policy steps | episodes 1 | reward sum 50.32 | replay 116000
Update 6600/20000 | world 0.0014 | actor -3.7488 | value 0.0075
