episode,reward,planning_rate
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,1.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,0.0,1.0
14,0.0,1.0
15,1.0,1.0
16,0.0,1.0
17,0.0,1.0
18,1.0,1.0
19,0.0,1.0
20,0.0,1.0
21,1.0,1.0
22,0.0,1.0
23,0.0,1.0
24,0.0,1.0
25,0.0,1.0
26,0.0,1.0
27,0.0,1.0
28,0.0,1.0
29,0.0,1.0
30,0.0,1.0
31,0.0,1.0
32,0.0,1.0
33,0.0,1.0
34,2.0,1.0
35,0.0,1.0
36,1.0,1.0
37,0.0,1.0
38,0.0,1.0
39,1.0,1.0
40,0.0,1.0
41,0.0,1.0
42,0.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,0.0,1.0
47,0.0,1.0
48,1.0,1.0
49,0.0,1.0
50,0.0,1.0
51,0.0,1.0
52,0.0,1.0
53,2.0,1.0
54,0.0,1.0
55,0.0,1.0
56,0.0,1.0
57,0.0,1.0
58,1.0,1.0
59,0.0,1.0
60,2.0,1.0
61,1.0,1.0
62,0.0,1.0
63,0.0,1.0
64,0.0,1.0
65,0.0,1.0
66,1.0,1.0
67,0.0,1.0
68,0.0,1.0
69,2.0,1.0
70,0.0,1.0
71,0.0,1.0
72,0.0,1.0
73,0.0,1.0
74,0.0,1.0
75,0.0,1.0
76,0.0,1.0
77,0.0,1.0
78,0.0,1.0
79,0.0,1.0
80,0.0,1.0
81,0.0,1.0
82,0.0,1.0
83,0.0,1.0
84,0.0,1.0
85,1.0,1.0
86,0.0,1.0
87,0.0,1.0
88,0.0,1.0
89,2.0,1.0
90,0.0,1.0
91,0.0,1.0
92,0.0,1.0
93,0.0,1.0
94,0.0,1.0
95,2.0,1.0
96,2.0,1.0
97,2.0,1.0
98,0.0,1.0
99,0.0,1.0
100,0.0,1.0
101,0.0,1.0
102,1.0,1.0
103,1.0,1.0
104,0.0,1.0
105,0.0,1.0
106,0.0,1.0
107,0.0,1.0
108,1.0,1.0
109,0.0,1.0
110,0.0,1.0
111,0.0,1.0
112,2.0,1.0
113,2.0,1.0
114,0.0,1.0
115,2.0,1.0
116,0.0,1.0
117,2.0,1.0
118,2.0,1.0
119,2.0,1.0
120,2.0,1.0
121,0.0,1.0
122,0.0,1.0
123,0.0,1.0
124,2.0,1.0
125,0.0,1.0
126,1.0,1.0
127,2.0,1.0
128,0.0,1.0
129,0.0,1.0
130,0.0,1.0
131,0.0,1.0
132,0.0,1.0
133,0.0,1.0
134,0.0,1.0
135,0.0,1.0
136,0.0,1.0
137,0.0,1.0
138,0.0,1.0
139,2.0,1.0
140,0.0,1.0
141,0.0,1.0
142,0.0,1.0
143,0.0,1.0
144,0.0,1.0
145,2.0,1.0
146,0.0,1.0
147,0.0,1.0
148,0.0,1.0
149,2.0,1.0
150,2.0,1.0
151,0.0,1.0
152,0.0,1.0
153,0.0,1.0
154,1.0,1.0
155,0.0,1.0
156,0.0,1.0
157,0.0,1.0
158,0.0,1.0
159,0.0,1.0
160,0.0,1.0
161,0.0,1.0
162,0.0,1.0
163,0.0,1.0
164,0.0,1.0
165,0.0,1.0
166,1.0,1.0
167,0.0,1.0
168,0.0,1.0
169,0.0,1.0
170,1.0,1.0
171,0.0,1.0
172,0.0,1.0
173,0.0,1.0
174,0.0,1.0
175,0.0,1.0
176,0.0,1.0
177,0.0,1.0
178,2.0,1.0
179,0.0,1.0
180,2.0,1.0
181,0.0,1.0
182,2.0,1.0
183,2.0,1.0
184,0.0,1.0
185,1.0,1.0
186,0.0,1.0
187,0.0,1.0
188,0.0,1.0
189,1.0,1.0
190,2.0,1.0
191,0.0,1.0
192,2.0,1.0
193,0.0,1.0
194,0.0,1.0
195,0.0,1.0
196,0.0,1.0
197,2.0,1.0
198,0.0,1.0
199,0.0,1.0
200,0.0,1.0
201,0.0,1.0
202,0.0,1.0
203,2.0,1.0
204,2.0,1.0
205,0.0,1.0
206,0.0,1.0
207,2.0,1.0
208,0.0,1.0
209,0.0,1.0
210,0.0,1.0
211,0.0,1.0
212,0.0,1.0
213,0.0,1.0
214,0.0,1.0
215,0.0,1.0
216,2.0,1.0
217,0.0,1.0
218,2.0,1.0
219,0.0,1.0
220,0.0,1.0
221,2.0,1.0
222,0.0,1.0
223,0.0,1.0
224,0.0,1.0
225,1.0,1.0
226,0.0,1.0
227,0.0,0.7142857142857143
228,4.0,0.25
229,0.0,0.24
230,0.0,0.28
231,0.0,0.25
232,0.0,0.24
233,0.0,0.24
234,0.0,0.25925925925925924
235,0.0,0.24
236,0.0,0.25925925925925924
237,2.0,0.25
238,1.0,0.24528301886792453
239,0.0,0.24
240,1.0,0.2545454545454545
241,0.0,0.24
242,0.0,0.2647058823529412
243,0.0,0.24
244,0.0,0.25806451612903225
245,2.0,0.25
246,0.0,0.24
247,0.0,0.25925925925925924
248,0.0,0.25
249,1.0,0.24528301886792453
250,0.0,0.2413793103448276
251,0.0,0.2692307692307692
252,1.0,0.2545454545454545
253,1.0,0.24242424242424243
254,1.0,0.2542372881355932
255,0.0,0.2413793103448276
256,1.0,0.25
257,0.0,0.24
258,0.0,0.2727272727272727
259,0.0,0.23076923076923078
260,1.0,0.25757575757575757
261,1.0,0.24074074074074073
262,1.0,0.24528301886792453
263,0.0,0.2682926829268293
264,0.0,0.24
265,0.0,0.24
266,0.0,0.24
267,0.0,0.25
268,0.0,0.2692307692307692
269,0.0,0.2413793103448276
270,0.0,0.2571428571428571
271,0.0,0.24
272,0.0,0.24
273,0.0,0.25806451612903225
274,0.0,0.24
275,0.0,0.2692307692307692
276,0.0,0.24
277,0.0,0.25
278,0.0,0.24
279,1.0,0.25757575757575757
280,0.0,0.24489795918367346
281,1.0,0.24528301886792453
282,0.0,0.28
283,0.0,0.22580645161290322
284,0.0,0.2692307692307692
285,0.0,0.23076923076923078
286,0.0,0.25925925925925924
287,0.0,0.25
288,1.0,0.24561403508771928
289,0.0,0.28
290,0.0,0.23076923076923078
291,0.0,0.24
292,0.0,0.2692307692307692
293,0.0,0.24
294,0.0,0.24
295,0.0,0.26666666666666666
296,0.0,0.24
297,0.0,0.2692307692307692
298,0.0,0.23076923076923078
299,0.0,0.24
300,1.0,0.25925925925925924
301,0.0,0.24
302,0.0,0.25806451612903225
303,1.0,0.24528301886792453
304,1.0,0.24691358024691357
305,0.0,0.28
306,0.0,0.23076923076923078
307,0.0,0.25
308,0.0,0.24
309,0.0,0.25806451612903225
310,1.0,0.24528301886792453
311,1.0,0.25
312,0.0,0.2692307692307692
313,0.0,0.24
314,0.0,0.24
315,0.0,0.26666666666666666
316,0.0,0.24
317,0.0,0.2413793103448276
318,0.0,0.25
319,2.0,0.25
320,0.0,0.25925925925925924
321,0.0,0.25925925925925924
322,0.0,0.24
323,0.0,0.24
324,0.0,0.25
325,0.0,0.28
326,0.0,0.2222222222222222
327,0.0,0.2692307692307692
328,4.0,0.24736842105263157
329,0.0,0.25
330,0.0,0.25806451612903225
331,0.0,0.24
332,0.0,0.25806451612903225
333,1.0,0.24561403508771928
334,1.0,0.25
335,0.0,0.25925925925925924
336,0.0,0.24242424242424243
337,0.0,0.2692307692307692
338,0.0,0.23076923076923078
339,0.0,0.28
340,0.0,0.23529411764705882
341,1.0,0.2631578947368421
342,0.0,0.24
343,0.0,0.25
344,0.0,0.25925925925925924
345,0.0,0.2692307692307692
346,0.0,0.24
347,0.0,0.25
348,2.0,0.25
349,0.0,0.24
350,0.0,0.24
351,0.0,0.2692307692307692
352,0.0,0.25
353,2.0,0.24509803921568626
354,0.0,0.25925925925925924
355,0.0,0.25
356,1.0,0.2465753424657534
357,0.0,0.25
358,2.0,0.2641509433962264
359,0.0,0.24
360,0.0,0.24
361,0.0,0.26666666666666666
362,0.0,0.24
363,0.0,0.24
364,0.0,0.27586206896551724
365,1.0,0.24528301886792453
366,0.0,0.24
367,0.0,0.24390243902439024
368,1.0,0.2641509433962264
369,1.0,0.23943661971830985
370,0.0,0.28
371,1.0,0.25
372,0.0,0.23076923076923078
373,0.0,0.2413793103448276
374,0.0,0.25
375,1.0,0.25
376,0.0,0.25925925925925924
377,0.0,0.25
378,0.0,0.24
379,1.0,0.25333333333333335
380,0.0,0.25
381,0.0,0.24
382,0.0,0.25
383,0.0,0.2692307692307692
384,0.0,0.25
385,1.0,0.24074074074074073
386,0.0,0.2692307692307692
387,0.0,0.23809523809523808
388,0.0,0.25806451612903225
389,1.0,0.25675675675675674
390,0.0,0.2413793103448276
391,0.0,0.2413793103448276
392,0.0,0.24
393,1.0,0.2602739726027397
394,1.0,0.2535211267605634
395,2.0,0.25471698113207547
396,0.0,0.24
397,0.0,0.24324324324324326
398,0.0,0.25
399,0.0,0.26666666666666666
400,1.0,0.24561403508771928
401,0.0,0.25925925925925924
402,1.0,0.25
403,0.0,0.25
404,0.0,0.23076923076923078
405,0.0,0.2692307692307692
406,0.0,0.24
407,0.0,0.25
408,0.0,0.2619047619047619
409,0.0,0.24
410,0.0,0.24
411,0.0,0.2692307692307692
412,1.0,0.24528301886792453
413,0.0,0.23333333333333334
414,1.0,0.25925925925925924
415,0.0,0.23333333333333334
416,0.0,0.2682926829268293
417,0.0,0.24
418,0.0,0.25
419,0.0,0.23529411764705882
420,0.0,0.2692307692307692
421,0.0,0.24
422,0.0,0.24
423,0.0,0.2647058823529412
424,0.0,0.24
425,0.0,0.2413793103448276
426,0.0,0.25
427,2.0,0.25742574257425743
428,0.0,0.24
429,0.0,0.25
430,0.0,0.23076923076923078
431,0.0,0.2692307692307692
432,0.0,0.23076923076923078
433,0.0,0.2692307692307692
434,0.0,0.23076923076923078
435,0.0,0.2692307692307692
436,0.0,0.24
437,0.0,0.2692307692307692
438,1.0,0.23943661971830985
439,0.0,0.26666666666666666
440,0.0,0.24
441,0.0,0.24390243902439024
442,1.0,0.25925925925925924
443,0.0,0.23076923076923078
444,0.0,0.25
445,1.0,0.25333333333333335
446,0.0,0.24
447,0.0,0.25925925925925924
448,0.0,0.24
449,0.0,0.2692307692307692
450,0.0,0.24
451,1.0,0.2641509433962264
452,0.0,0.25925925925925924
453,4.0,0.24870466321243523
454,0.0,0.2692307692307692
455,2.0,0.2459016393442623
456,2.0,0.25742574257425743
457,0.0,0.25
458,2.0,0.24752475247524752
459,0.0,0.25
460,0.0,0.23076923076923078
461,0.0,0.2692307692307692
462,2.0,0.25
463,0.0,0.24
464,0.0,0.25925925925925924
465,0.0,0.24
466,0.0,0.24
467,0.0,0.2564102564102564
468,0.0,0.24
469,1.0,0.25862068965517243
470,0.0,0.24
471,0.0,0.25925925925925924
472,0.0,0.25
473,0.0,0.23076923076923078
474,0.0,0.28
475,0.0,0.2413793103448276
476,0.0,0.24
477,0.0,0.24
478,3.0,0.25
479,0.0,0.25925925925925924
480,0.0,0.24
481,1.0,0.2909090909090909
482,0.0,0.24
483,0.0,0.26666666666666666
484,0.0,0.24
485,0.0,0.24
486,0.0,0.2692307692307692
487,0.0,0.24
488,0.0,0.24
489,0.0,0.25
490,0.0,0.25925925925925924
491,0.0,0.24
492,1.0,0.25333333333333335
493,0.0,0.24
494,1.0,0.25
495,0.0,0.27586206896551724
496,0.0,0.23076923076923078
497,0.0,0.24
498,0.0,0.25806451612903225
499,2.0,0.25
500,0.0,0.25925925925925924
501,1.0,0.24528301886792453
502,0.0,0.25
503,1.0,0.2465753424657534
504,0.0,0.2692307692307692
505,1.0,0.24528301886792453
506,0.0,0.2619047619047619
507,1.0,0.24615384615384617
508,0.0,0.24
509,1.0,0.273972602739726
510,0.0,0.2571428571428571
511,0.0,0.24
512,1.0,0.26229508196721313
513,0.0,0.2413793103448276
514,0.0,0.23076923076923078
515,0.0,0.25925925925925924
516,0.0,0.24
517,0.0,0.2692307692307692
518,0.0,0.23076923076923078
519,1.0,0.25
520,2.0,0.28
521,0.0,0.25
522,0.0,0.2692307692307692
523,0.0,0.24
524,0.0,0.24
525,0.0,0.2647058823529412
526,0.0,0.23076923076923078
527,0.0,0.2692307692307692
528,0.0,0.25
529,0.0,0.23076923076923078
530,0.0,0.25
531,0.0,0.28
532,1.0,0.25
533,0.0,0.24
534,0.0,0.24
535,1.0,0.27631578947368424
536,0.0,0.2413793103448276
537,0.0,0.28
538,0.0,0.24
539,0.0,0.24
540,0.0,0.24
541,0.0,0.26666666666666666
542,0.0,0.24
543,1.0,0.24691358024691357
544,0.0,0.25925925925925924
545,0.0,0.25925925925925924
546,0.0,0.24
547,0.0,0.2413793103448276
548,0.0,0.25
549,0.0,0.28
550,0.0,0.24
551,0.0,0.23076923076923078
552,1.0,0.25
553,0.0,0.26666666666666666
554,0.0,0.25
555,0.0,0.24
556,0.0,0.2647058823529412
557,0.0,0.23076923076923078
558,1.0,0.25
559,0.0,0.24
560,0.0,0.28
561,1.0,0.25925925925925924
562,0.0,0.24
563,0.0,0.2647058823529412
564,1.0,0.24358974358974358
565,1.0,0.29310344827586204
566,0.0,0.24
567,0.0,0.24
568,0.0,0.2692307692307692
569,0.0,0.24
570,2.0,0.25471698113207547
571,0.0,0.2222222222222222
572,1.0,0.25
573,0.0,0.2692307692307692
574,0.0,0.24
575,0.0,0.24
576,0.0,0.2692307692307692
577,2.0,0.2549019607843137
578,0.0,0.2682926829268293
579,0.0,0.23076923076923078
580,1.0,0.24528301886792453
581,0.0,0.2692307692307692
582,0.0,0.24
583,0.0,0.25
584,0.0,0.24
585,0.0,0.2692307692307692
586,0.0,0.24242424242424243
587,0.0,0.2413793103448276
588,2.0,0.25742574257425743
589,0.0,0.24
590,0.0,0.24
591,0.0,0.24
592,0.0,0.26666666666666666
593,3.0,0.2536231884057971
594,0.0,0.24
595,0.0,0.2692307692307692
596,2.0,0.2549019607843137
597,0.0,0.28
598,0.0,0.23333333333333334
599,0.0,0.24
600,0.0,0.28
601,1.0,0.24
602,0.0,0.2692307692307692
603,0.0,0.24
604,0.0,0.24
605,0.0,0.2571428571428571
606,0.0,0.2413793103448276
607,0.0,0.27586206896551724
608,2.0,0.24752475247524752
609,0.0,0.25925925925925924
610,0.0,0.23076923076923078
611,0.0,0.24
612,0.0,0.25
613,0.0,0.2692307692307692
614,0.0,0.24
615,0.0,0.24
616,0.0,0.2692307692307692
617,2.0,0.2549019607843137
618,1.0,0.2711864406779661
619,0.0,0.25925925925925924
620,0.0,0.2413793103448276
621,2.0,0.2621359223300971
622,1.0,0.24528301886792453
623,0.0,0.24
624,0.0,0.28
625,0.0,0.24
626,2.0,0.24786324786324787
627,0.0,0.24
628,0.0,0.28
629,0.0,0.24
630,1.0,0.24528301886792453
631,0.0,0.24
632,0.0,0.25925925925925924
633,0.0,0.24
634,0.0,0.28
635,0.0,0.24
636,0.0,0.23076923076923078
637,0.0,0.28
638,0.0,0.24
639,2.0,0.2459016393442623
640,0.0,0.25925925925925924
641,0.0,0.24
642,0.0,0.28
643,0.0,0.23076923076923078
644,0.0,0.24
645,0.0,0.25925925925925924
646,0.0,0.24
647,0.0,0.2692307692307692
648,2.0,0.25
649,0.0,0.24
650,0.0,0.25925925925925924
651,0.0,0.24
652,0.0,0.24
653,0.0,0.25
654,0.0,0.2692307692307692
655,0.0,0.24
656,4.0,0.28901734104046245
657,0.0,0.28
658,0.0,0.24
659,1.0,0.25
660,1.0,0.32432432432432434
661,1.0,0.25925925925925924
662,1.0,0.25925925925925924
663,0.0,0.28
664,0.0,0.24
