Saving all results to: /home/administrator/FYP/RL-baselines/results/dyna_q/run_20260501_134008
Starting Dyna-Q Training on CliffWalking-v1 for 100000 episodes...
Episode 100/100000 | Exploratory train avg (Last 100): -121.49 | Greedy eval avg: -13.00
Episode 200/100000 | Exploratory train avg (Last 100): -109.24 | Greedy eval avg: -13.00
Episode 300/100000 | Exploratory train avg (Last 100): -108.62 | Greedy eval avg: -13.00
Episode 400/100000 | Exploratory train avg (Last 100): -124.53 | Greedy eval avg: -13.00
Episode 500/100000 | Exploratory train avg (Last 100): -93.12 | Greedy eval avg: -13.00
Episode 600/100000 | Exploratory train avg (Last 100): -115.02 | Greedy eval avg: -13.00
Episode 700/100000 | Exploratory train avg (Last 100): -107.89 | Greedy eval avg: -13.00
Episode 800/100000 | Exploratory train avg (Last 100): -120.11 | Greedy eval avg: -13.00
Episode 900/100000 | Exploratory train avg (Last 100): -138.63 | Greedy eval avg: -13.00
Episode 1000/100000 | Exploratory train avg (Last 100): -89.73 | Greedy eval avg: -13.00
Episode 1100/100000 | Exploratory train avg (Last 100): -115.03 | Greedy eval avg: -13.00
Episode 1200/100000 | Exploratory train avg (Last 100): -105.20 | Greedy eval avg: -13.00
Episode 1300/100000 | Exploratory train avg (Last 100): -95.18 | Greedy eval avg: -13.00
Episode 1400/100000 | Exploratory train avg (Last 100): -99.35 | Greedy eval avg: -13.00
Episode 1500/100000 | Exploratory train avg (Last 100): -87.24 | Greedy eval avg: -13.00
Episode 1600/100000 | Exploratory train avg (Last 100): -145.61 | Greedy eval avg: -13.00
Episode 1700/100000 | Exploratory train avg (Last 100): -109.39 | Greedy eval avg: -13.00
Episode 1800/100000 | Exploratory train avg (Last 100): -117.35 | Greedy eval avg: -13.00
Episode 1900/100000 | Exploratory train avg (Last 100): -100.57 | Greedy eval avg: -13.00
Episode 2000/100000 | Exploratory train avg (Last 100): -103.95 | Greedy eval avg: -13.00
Episode 2100/100000 | Exploratory train avg (Last 100): -87.48 | Greedy eval avg: -13.00
Episode 2200/100000 | Exploratory train avg (Last 100): -92.87 | Greedy eval avg: -13.00
Episode 2300/100000 | Exploratory train avg (Last 100): -120.03 | Greedy eval avg: -13.00
Episode 2400/100000 | Exploratory train avg (Last 100): -103.24 | Greedy eval avg: -13.00
Episode 2500/100000 | Exploratory train avg (Last 100): -93.12 | Greedy eval avg: -13.00
Episode 2600/100000 | Exploratory train avg (Last 100): -96.55 | Greedy eval avg: -13.00
Episode 2700/100000 | Exploratory train avg (Last 100): -94.22 | Greedy eval avg: -13.00
Episode 2800/100000 | Exploratory train avg (Last 100): -103.94 | Greedy eval avg: -13.00
Episode 2900/100000 | Exploratory train avg (Last 100): -110.77 | Greedy eval avg: -13.00
Episode 3000/100000 | Exploratory train avg (Last 100): -111.22 | Greedy eval avg: -13.00
Episode 3100/100000 | Exploratory train avg (Last 100): -91.96 | Greedy eval avg: -13.00
Episode 3200/100000 | Exploratory train avg (Last 100): -104.79 | Greedy eval avg: -13.00
Episode 3300/100000 | Exploratory train avg (Last 100): -110.12 | Greedy eval avg: -13.00
Episode 3400/100000 | Exploratory train avg (Last 100): -93.33 | Greedy eval avg: -13.00
Episode 3500/100000 | Exploratory train avg (Last 100): -84.58 | Greedy eval avg: -13.00
Episode 3600/100000 | Exploratory train avg (Last 100): -78.04 | Greedy eval avg: -13.00
Episode 3700/100000 | Exploratory train avg (Last 100): -89.25 | Greedy eval avg: -13.00
Episode 3800/100000 | Exploratory train avg (Last 100): -100.65 | Greedy eval avg: -13.00
Episode 3900/100000 | Exploratory train avg (Last 100): -83.19 | Greedy eval avg: -13.00
Episode 4000/100000 | Exploratory train avg (Last 100): -86.15 | Greedy eval avg: -13.00
Episode 4100/100000 | Exploratory train avg (Last 100): -108.88 | Greedy eval avg: -13.00
Episode 4200/100000 | Exploratory train avg (Last 100): -89.11 | Greedy eval avg: -13.00
Episode 4300/100000 | Exploratory train avg (Last 100): -88.25 | Greedy eval avg: -13.00
Episode 4400/100000 | Exploratory train avg (Last 100): -111.79 | Greedy eval avg: -13.00
Episode 4500/100000 | Exploratory train avg (Last 100): -105.88 | Greedy eval avg: -13.00
Episode 4600/100000 | Exploratory train avg (Last 100): -99.70 | Greedy eval avg: -13.00
Episode 4700/100000 | Exploratory train avg (Last 100): -87.83 | Greedy eval avg: -13.00
Episode 4800/100000 | Exploratory train avg (Last 100): -105.33 | Greedy eval avg: -13.00
Episode 4900/100000 | Exploratory train avg (Last 100): -69.10 | Greedy eval avg: -13.00
Episode 5000/100000 | Exploratory train avg (Last 100): -68.96 | Greedy eval avg: -13.00
Episode 5100/100000 | Exploratory train avg (Last 100): -92.53 | Greedy eval avg: -13.00
Episode 5200/100000 | Exploratory train avg (Last 100): -82.29 | Greedy eval avg: -13.00
Episode 5300/100000 | Exploratory train avg (Last 100): -96.79 | Greedy eval avg: -13.00
Episode 5400/100000 | Exploratory train avg (Last 100): -76.93 | Greedy eval avg: -13.00
Episode 5500/100000 | Exploratory train avg (Last 100): -77.73 | Greedy eval avg: -13.00
Episode 5600/100000 | Exploratory train avg (Last 100): -100.94 | Greedy eval avg: -13.00
Episode 5700/100000 | Exploratory train avg (Last 100): -76.05 | Greedy eval avg: -13.00
Episode 5800/100000 | Exploratory train avg (Last 100): -77.84 | Greedy eval avg: -13.00
Episode 5900/100000 | Exploratory train avg (Last 100): -69.97 | Greedy eval avg: -13.00
Episode 6000/100000 | Exploratory train avg (Last 100): -97.94 | Greedy eval avg: -13.00
Episode 6100/100000 | Exploratory train avg (Last 100): -72.53 | Greedy eval avg: -13.00
Episode 6200/100000 | Exploratory train avg (Last 100): -72.04 | Greedy eval avg: -13.00
Episode 6300/100000 | Exploratory train avg (Last 100): -96.01 | Greedy eval avg: -13.00
Episode 6400/100000 | Exploratory train avg (Last 100): -84.75 | Greedy eval avg: -13.00
Episode 6500/100000 | Exploratory train avg (Last 100): -86.19 | Greedy eval avg: -13.00
